MATRICULE;DESIGNATION;ANNEE;QTE VIDANGE;CODE BARRE;MARQUE;PNEUMATIQUE;CATEGORIE
041-01296-40;NIVELEUSE GD661 KOMATSU;2005;30;CB1162;KOMATSU;1400/24;ENGIN TERRASSEM
04-190-40;CHARGEUR W120 KOMATSU;1984;0;CB0380;KOMATSU;23,5R25;ENGIN TERRASSEM
052-01314-40;CHARGEUR  HL740-7 HYUNDAI HYUNDAI ;2011;13;CB1472;HYUNDAI ;20,5R25;ENGIN TERRASSEM
041-01295-40;CHARGEUR WA420 KOMATSU;2005;30;CB1224;KOMATSU;23,5R25;ENGIN TERRASSEM
042-154-40;PELLE HD 9210 ENMTP;1990;0;;ENMTP;1100/20;ENGIN TERRASSEM
042-330-40;PELLE HD M318 CATERPILLAR;2003;15;CB0592;CATERPILLAR;1000/20;ENGIN TERRASSEM
042-01198-40;PELLE SUR CHENILLE  320DL CATERPILLAR;2010;25;CB1471;CATERPILLAR;CHENILLE;ENGIN TERRASSEM
042-01812-40;PELLE SUR CHENILLE EC 350DL VOLVO;2016;28;CB0000;VOLVO;CHENILLE;ENGIN TERRASSEM
042-01186-40;PELLE HD SUR CHENILLE 9411 ENMTP;2000;9;CB0588;ENMTP;/;ENGIN TERRASSEM
041-01414-40;RETROCHARGEUR 428F CASE;1997;6;CB1632;CASE;AV12,5/80R18-AR 16,9/28;ENGIN TERRASSEM
042-01210-40;RETROCHARGEUR 428C CATERPILLAR;2000;6;CB0402;CATERPILLAR;AV12,5/80R18-AR 16,9/28;ENGIN TERRASSEM
042-01239-40;RETROCHARGEUR 422E CATERPILLAR;2011;6;CB1439;CATERPILLAR;AV12,5/80R18-AR 16,9/28;ENGIN TERRASSEM
2000;BRISE ROCHE 9411 ENMTP;2000;;;ENMTP;;ENGIN TERRASSEM
042-01468-40;PELLE SUR PNEU M315D CATERPILLAR;0;9;CB1675;CATERPILLAR;1000/20 (pneu tandem);ENGIN TERRASSEM
04-1636-16;RETRO CHARGEUR 422E CATERPILLAR;0;6;;CATERPILLAR;AV12,5/80R18-AR 16,9/28;ENGIN TERRASSEM
041-2347-23;CHARGEUR S/PNEU 2320 ENMTP/GTH;0;9;;ENMTP/GTH;17,5R25;ENGIN TERRASSEM
042-01532-40;BULLDOZER CATERPILLAR;2014;25;CB1919;CATERPILLAR;CHENILLE;ENGIN TERRASSEM
052-147-40;GRUE SUR PNEU 1020 ENMTP;1990;0;CB0667;ENMTP;1100/20;MANITENTION
052-00775-40;GRUE SUR PNEU 1025 ENMTP;2007;9;CB1157;ENMTP;1100/20;MANITENTION
051-01340-40;GRUE SUR PNEU SANY STC250 SANY;2012;20;CB1633;SANY;1100/20;MANITENTION
051-01249-40;GRUE SUR PNEU SANY QY25 SANY;2011;20;CB1440;SANY;1100/20;MANITENTION
CB0660;GRUE POTIN A380 (N° 57743) POTIN;1997;;CB0660;POTIN;;MANITENTION
CB0600;GRUE POTIN 01 (N° 57733) POTIN;2003;5;CB0600;POTIN;-;MANITENTION
