NB.SI;CATEGORIE;DESIGNATION;MATRICULE;DATE ENTREE;PANNE DECLAREE;SIT.ACTUELLE;PIECES;DATE SORTIE;INTERVENANT;AFFECTATION;NBR INDISPONIBILITE;JOUR OUVRABLE;RATIO;JOUR DISPONIBILITE;RATIO2; TYPE DE PANNE ;
CB0603/1;AIR COMPRIME;COMPRESSEUR D-45 603 ENMTP CB0603;CB0603;31/12/2022;moteur HS;Réparée;séparateur d'huile - filtre a huile - filtre hydraulique - 02 filtre a Air - 04 chemise/piston - 04 bague de bielle - 01 pompe a l'huile - jeu de coussinet - je de cale vilebrequin - arbre a cames - démarreur 12V - alternateur 12V - pochette de joint - joint de chemise - joint de culasse - poussoir - joint tournant (presse étoupe)  -  batterie 12V75Ah  -  flexible ;08/12/2024;Sekakra,Dj;PARC;506;22;23;0;100%;mécanique;
003784-212-16/1;TRANS/BENNE 40;CAMION  PLATEAU PL01 DAEWOO  01383-212-40;003784-212-16;10/01/2023;problème au niveau de la pompe injection ;Réparée;Accouplement pompe injection ;12/01/2023;Gharib,med;PARC;3;22;0,14;19;86,36%;mécanique;
02166-203-16/1;TRANS/BENNE 40;CAMION A BENNE K66 BN-03 SNVI 00011-203-40;02166-203-16;10/01/2023;problème démarrage;Réparée;Batterie 12V 92AH;10/01/2023;Marir,R;PARC;1;22;0,05;21;95,45%;électrique;
03368-812-40/1;TRANS ET V, SPECIAUX  ;COCOTTE A CIMENT 20T-03 SNVI 03368-812-40;03368-812-40;11/01/2023;Compresseur d'Air;Réparée;Durite Ø 70 ;11/01/2023;Marir,R;PARC;1;22;0,05;21;95,45%;électrique;
00379-305-40/1;LEGER;MITSUBISHI PICK UP 00379-305-40;00379-305-40;11/01/2023;température anormale;Réparée;thermostat;15/01/2023;Djeridi,A;MGX;3;22;0,14;19;86,36%;mécanique;
051-01340-40/1;MANITENTION;GRUE SUR PNEU SANY STC250 SANY 051-01340-40;051-01340-40;11/01/2023;pression huile insuffisante;Réparée;pompe a l'huile - roulement 6202 (02);16/01/2023;Gharib,med;PARC;4;22;0,18;18;81,82%;mécanique;
SP24/1;COMPACTAGE;MINI COMPACTEUR SP24 ENMTP SP24;SP24;12/01/2023;grincement au niveau du cylindre;Réparée;Joint spi 45/72/10 Support Rond - Roulement 22209 - ;18/01/2023;Sekakra,Dj;PARC;5;22;0,23;17;77,27%;mécanique;
051-01249-40/1;MANITENTION;GRUE SUR PNEU SANY QY25 SANY 051-01249-40;051-01249-40;15/01/2023;problème de freinage la membrane déchirée;Réparée;piston d'air;17/01/2023;Sekakra,Dj;PARC;3;22;0,14;19;86,36%;mécanique;
00106-102-40/1;LEGER;HYUNDAI ACCENT 00106-102-40;00106-102-40;15/01/2023;problème électrique;Réparée;Alternateur;18/01/2023;Marir,R;MGX;4;22;0,18;18;81,82%;électrique;
042-01812-40/1;ENGIN TERRASSEM;PELLE SUR CHENILLE EC 350DL VOLVO 042-01812-40;042-01812-40;15/01/2023;grincement au niveau des chenilles;Réparée;indéterminée;31/01/2023;Sekakra,Dj;PARC;13;22;0,59;9;40,91%;mécanique;
